Time,Volume,Gammatilde
0.265,"[3.44101353e-09 6.90065132e-10 8.66637496e-11 3.31779249e-13
 1.34935789e-09 3.67333073e-14 7.80890761e-13 1.93185834e-12
 6.10974708e-13 8.91524965e-12 4.77382801e-11 1.88215168e-11
 1.08725838e-12 3.04635517e-12 5.00413698e-14 1.46216230e-12
 6.15304694e-13 4.01182427e-14 8.70860369e-10 1.45124789e-10
 6.70288407e-13 3.08857755e-12 3.70385386e-13 1.30042443e-13
 1.47010492e-13 5.45188021e-14 2.89537203e-13 9.93359346e-12]","[0.08647177 0.07469107 0.05443737 0.03004593 0.07710593 0.03292244
 0.03344257 0.03061114 0.03909079 0.02782399 0.04550582 0.04041788
 0.03016554 0.03301554 0.03512555 0.0368041  0.03773311 0.05022402
 0.06343592 0.05878497 0.0469178  0.05637467 0.05802706 0.04615613
 0.03497751 0.03700096 0.05746724 0.0520385 ]"
0.27,"[3.43086372e-09 6.86779010e-10 2.91496462e-13 1.34316288e-09
 4.82478697e-14 7.46915480e-13 1.77029187e-12 2.95712446e-13
 8.50317602e-12 8.55004799e-11 4.68559159e-11 1.51782145e-11
 2.99522985e-13 1.06803156e-13 1.63700400e-13 1.13068727e-12
 1.98785034e-13 7.22584796e-13 4.36738301e-14 1.27800321e-12
 5.57724510e-13 8.68677139e-10 1.43342316e-10 6.28924115e-13
 2.99035361e-12 5.06670235e-14 1.34081547e-13 1.03357126e-13
 9.71979679e-12]","[0.08460584 0.07212675 0.02868807 0.07609429 0.0311315  0.03177694
 0.03054593 0.03554981 0.02578461 0.05174409 0.04482839 0.0384176
 0.02960514 0.02973456 0.03001319 0.03119267 0.03071173 0.03196823
 0.03316867 0.03653745 0.03651682 0.06253835 0.05746842 0.04577705
 0.05275833 0.04474246 0.05518797 0.05222653 0.05106713]"
0.275,"[3.36791793e-09 6.84280235e-10 1.65166153e-11 7.76367534e-13
 1.33793123e-09 8.51247256e-13 3.60987611e-11 1.33228387e-13
 1.75417863e-12 1.98253964e-13 8.27342119e-12 8.44399816e-11
 4.00542685e-11 2.55066813e-13 4.50670179e-13 2.75925399e-14
 4.52443771e-13 9.00825819e-13 1.51459398e-12 2.87749778e-12
 3.49207903e-12 2.97917722e-13 8.67444552e-10 1.40229787e-10
 3.90536266e-13 1.47304660e-13 2.80736558e-12 3.38396051e-14
 5.36453383e-13 1.19732620e-13 4.74699007e-14 4.90035050e-14
 2.87842408e-13 4.65673916e-14 2.69900383e-12 8.64971761e-12
 3.31681501e-14 2.11222767e-14 5.23028612e-14 8.93667898e-12]","[0.08223192 0.06932026 0.04634516 0.03221859 0.07488287 0.0320854
 0.06831407 0.02754124 0.03147791 0.03338073 0.02493898 0.04850263
 0.04518147 0.02973526 0.028385   0.02821411 0.03010204 0.02966415
 0.03722539 0.03673126 0.035529   0.03541941 0.06215097 0.05715659
 0.04436241 0.04335147 0.0503408  0.05271114 0.05393119 0.0326294
 0.03347587 0.0340032  0.03495012 0.03592999 0.03705949 0.03672157
 0.03243534 0.04015703 0.04919699 0.04976717]"
0.28,"[3.36727794e-09 6.82443855e-11 6.13073188e-10 1.08888175e-11
 2.46507554e-12 8.22755595e-13 5.74672167e-13 3.54639393e-11
 4.90735269e-14 1.59077478e-12 7.66753431e-10 8.12582303e-11
 7.67337332e-12 3.10867351e-13 4.02937085e-11 4.56542790e-13
 1.35925132e-12 2.39644459e-12 9.20462105e-13 1.27312131e-12
 5.13116545e-14 5.67962693e-13 1.54204837e-13 6.36208939e-14
 2.89488347e-12 1.00268389e-09 2.03284183e-13 3.20092595e-13
 6.13935109e-14 2.73294795e-12 4.50340379e-14 2.28466233e-12
 2.00980226e-14 2.93524263e-14 2.32928244e-13 5.46108274e-12
 1.16165218e-13 2.59246612e-13 3.57118136e-14 5.63810277e-10
 2.93408261e-14 2.02768879e-13 1.23911587e-13 3.89359089e-14
 8.15835917e-12]","[0.07833851 0.05121262 0.06621711 0.04816633 0.03163936 0.03249638
 0.03245753 0.06810348 0.02828325 0.03352043 0.07695803 0.04469709
 0.02498296 0.02839543 0.04384225 0.02910641 0.03843585 0.03584883
 0.02819832 0.02836601 0.03332178 0.03450952 0.03272187 0.03272844
 0.03514774 0.06021218 0.03142616 0.04253608 0.05110199 0.04934581
 0.03505617 0.03604216 0.03089589 0.0295393  0.03004403 0.03791085
 0.02937027 0.02962945 0.03376968 0.070205   0.04072561 0.04772304
 0.04697242 0.04633387 0.04858326]"
0.28500000000000003,"[3.36069343e-09 6.68989398e-11 6.13059811e-10 2.20827962e-12
 2.21557841e-12 9.47740311e-13 3.96005100e-13 7.99530593e-13
 4.22991549e-12 3.45020847e-11 1.46691828e-12 7.64031852e-10
 8.01197605e-11 7.46898865e-12 4.26373474e-14 4.02795114e-11
 6.19394087e-13 1.42718971e-12 2.28586598e-12 1.12441727e-12
 7.11109676e-14 4.09123293e-13 5.22195221e-14 9.64194124e-13
 2.33135394e-13 5.05466733e-14 7.08378658e-14 4.42172359e-14
 2.28289555e-12 1.96751714e-12 3.94773613e-14 3.28223960e-14
 8.67700740e-14 1.19934816e-13 2.11687510e-13 1.66199876e-12
 1.63168524e-13 1.57832506e-13 1.11332000e-13 9.31482771e-10
 2.21389908e-13 1.56910859e-13 2.62276359e-12 2.07457575e-14
 2.31264536e-12 3.01530483e-14 3.49584736e-13 5.59071279e-12
 5.61847854e-10 6.20226067e-13 6.52353419e-11 5.94257772e-14
 1.61923781e-14 1.19099554e-13 2.79811457e-14 3.13889351e-14
 4.44631153e-14 7.84720465e-12]","[0.07451099 0.0498775  0.06098428 0.03074315 0.02981141 0.03289226
 0.03148167 0.0323708  0.0453189  0.06618931 0.03502811 0.07826581
 0.04092232 0.02425441 0.02857678 0.04222927 0.0303377  0.03900993
 0.03518598 0.02897966 0.03276099 0.03372752 0.03238463 0.02719202
 0.0318268  0.03191827 0.03214768 0.03250216 0.0336043  0.07241192
 0.05523912 0.05171728 0.04597304 0.04442944 0.04298075 0.03835547
 0.03439536 0.03249674 0.03314006 0.05710558 0.03026559 0.04036498
 0.05047331 0.05015169 0.03622839 0.02826142 0.02906206 0.03806422
 0.06958106 0.04826935 0.05909613 0.04047547 0.04061878 0.04739565
 0.04699018 0.04622902 0.04547598 0.04747522]"
0.29,"[3.25054795e-09 1.07104354e-10 6.64480456e-11 6.10365235e-10
 1.42920584e-12 9.12205396e-13 1.01409978e-12 1.17585289e-12
 3.79583818e-13 4.20378813e-14 3.01922619e-13 3.98429776e-12
 5.62253186e-14 3.41973503e-11 1.41243865e-12 1.85688416e-12
 7.90892006e-11 7.22835923e-12 3.64847295e-11 6.30469826e-13
 3.61074043e-12 1.39628078e-12 2.48287710e-12 1.25164360e-12
 2.73130186e-13 2.44885679e-14 3.55499147e-14 9.33732783e-13
 4.42719083e-14 6.35284321e-10 2.34128037e-12 3.01853009e-12
 1.83556890e-12 1.14348046e-10 2.67764759e-13 3.75964311e-14
 9.82538377e-14 1.44988122e-12 2.31326152e-12 9.19370555e-10
 5.48725382e-12 1.15521451e-13 5.38703358e-13 1.44636255e-13
 8.21625023e-14 6.05164037e-14 3.66471537e-14 2.08992567e-12
 3.51752560e-13 6.91333303e-14 1.28981657e-13 5.66406202e-12
 5.60770531e-10 3.81383429e-13 6.52257363e-11 3.28546247e-12
 1.89989680e-13 7.15570749e-12]","[0.07261015 0.05121363 0.04901185 0.06140061 0.02943092 0.02860742
 0.02887627 0.03492646 0.02995266 0.04454226 0.03303401 0.04189187
 0.05724224 0.06654711 0.03542983 0.02608814 0.03767946 0.02356887
 0.03995234 0.0318882  0.04361095 0.03915857 0.034837   0.02993109
 0.03299796 0.03137414 0.03124213 0.0263554  0.03139689 0.08562722
 0.0327369  0.03253673 0.07093664 0.05109223 0.03362518 0.02993116
 0.02946143 0.02915032 0.04988691 0.05448957 0.04309233 0.03117917
 0.03103205 0.03188131 0.03258919 0.02944093 0.03901368 0.037155
 0.02873067 0.02893841 0.0330593  0.03963911 0.06758048 0.04734105
 0.0576881  0.09728859 0.04711521 0.0466392 ]"
0.295,"[5.54901060e-10 3.24137095e-14 1.04909402e-10 6.52556334e-11
 6.10784915e-10 9.43715299e-13 1.95996865e-13 7.30613255e-13
 1.19273028e-12 2.69754793e-09 1.47284561e-12 2.67818449e-14
 1.97524336e-13 3.84444265e-12 2.52197247e-13 1.93115730e-12
 7.60273106e-11 7.45278871e-12 3.63682971e-11 3.62855672e-12
 1.32090687e-12 2.61977146e-12 8.41999873e-13 7.19982158e-14
 1.11398644e-12 4.67083701e-13 5.91849953e-14 4.25088280e-14
 2.91856268e-11 2.37851104e-12 7.69961605e-13 4.64174871e-14
 2.78580508e-12 1.68606365e-12 6.33826261e-11 4.30581133e-11
 1.10207670e-12 2.62370868e-12 9.10629986e-10 3.38521554e-14
 1.13126539e-13 4.37118186e-12 3.38306855e-11 5.46143268e-12
 1.33814616e-13 4.16627112e-14 1.99381533e-12 3.56118825e-13
 6.53191980e-13 5.54379138e-12 2.97086230e-13 6.01999888e-10
 1.26687461e-13 1.32137396e-13 2.88985706e-13 1.95825324e-13
 1.38629311e-13 3.89042241e-14 6.46493050e-11 5.55876067e-12
 5.60277154e-10 3.40512506e-12 2.02278582e-14 3.71903786e-13
 6.17175242e-12 3.36825117e-13]","[0.07218491 0.09639477 0.05064337 0.04860862 0.06202165 0.02788589
 0.02744325 0.02809514 0.03636944 0.07142857 0.03584286 0.02694445
 0.02859097 0.0392841  0.03458672 0.02528045 0.03450397 0.02432517
 0.03762488 0.04272858 0.03921963 0.03484063 0.03728733 0.03266097
 0.03071915 0.03225498 0.0311584  0.03102928 0.03492545 0.03238294
 0.02561136 0.03271315 0.03297217 0.06851764 0.06443775 0.0375602
 0.02827486 0.04789931 0.0527327  0.03220661 0.03145859 0.04140405
 0.06631303 0.02693209 0.02881071 0.03835947 0.03655142 0.02893242
 0.03221204 0.04057163 0.05024738 0.08932036 0.02844881 0.028445
 0.02865205 0.02900351 0.02939042 0.04026226 0.05457262 0.0490006
 0.06612823 0.10016496 0.04375687 0.04261586 0.04560484 0.04686619]"
0.3,"[5.54522696e-10 1.02837825e-10 6.48277481e-11 6.11024549e-10
 6.05261072e-13 6.90857441e-13 1.19519880e-12 2.70525362e-09
 3.42780779e-14 3.36583801e-14 3.53865714e-12 7.37862430e-11
 3.60556743e-11 7.54159610e-12 3.49298687e-12 1.32530135e-12
 2.80184600e-12 1.24679915e-12 1.09991716e-12 3.24024174e-13
 5.07843598e-14 4.86015936e-14 3.25947943e-14 2.37701346e-11
 2.34019818e-12 7.42068294e-13 7.18324696e-13 2.68532688e-12
 1.26794275e-13 3.89704326e-14 4.08916626e-11 8.47187047e-13
 2.47247931e-12 8.87779664e-10 1.61698518e-11 3.89594388e-13
 3.31347370e-11 2.10819921e-12 5.42640270e-12 1.88524915e-12
 5.68831661e-13 2.08473574e-13 5.53874450e-12 2.89610282e-13
 6.03379700e-10 2.05087820e-13 5.96141518e-14 1.53971293e-12
 6.35260321e-11 6.43787532e-11 4.86780473e-12 3.42404004e-12
 5.11588923e-12 2.44819946e-13 3.50204744e-13 5.60164130e-10
 2.83855568e-13 1.40238898e-13]","[0.07082415 0.05018946 0.04780365 0.05967193 0.02723573 0.02749254
 0.03637278 0.0709565  0.02777854 0.02763844 0.03707048 0.03195237
 0.03502067 0.02613561 0.04251198 0.03914078 0.03521967 0.03067118
 0.0383499  0.03141564 0.03179582 0.03176978 0.03170219 0.0339868
 0.03247324 0.03182823 0.02490454 0.03340464 0.04119998 0.04306498
 0.03598967 0.02708935 0.04490309 0.05022038 0.04840442 0.04655295
 0.06366928 0.02556438 0.02760199 0.03447563 0.03103078 0.02887167
 0.04018401 0.02705523 0.08733679 0.03155393 0.02821635 0.06667192
 0.06587826 0.05025805 0.04901112 0.10249406 0.04401026 0.03995378
 0.04755299 0.06653254 0.04775891 0.04282374]"
0.305,"[5.54764803e-10 3.07291568e-14 9.97226314e-11 6.41348850e-11
 1.45167918e-12 9.43884534e-13 1.09709578e-12 2.64458126e-14
 2.70392532e-09 6.06764705e-10 8.87007560e-14 2.39251523e-12
 6.40396569e-14 8.30201881e-13 4.78881623e-11 3.55280593e-11
 2.50259079e-11 7.84798079e-12 3.51624493e-12 1.29832134e-12
 2.60878319e-12 2.91227553e-13 1.03239747e-12 4.68241791e-13
 2.01111568e-14 1.91067081e-11 1.36308443e-13 1.45659411e-12
 2.49155417e-12 3.60019780e-14 4.05681544e-14 1.00356952e-12
 2.79329820e-12 6.58625643e-13 3.86699228e-11 8.23971123e-13
 6.50311162e-13 2.22826249e-12 5.72576119e-10 6.18725918e-12
 3.10506120e-11 2.37043260e-12 5.69428660e-12 5.87184084e-14
 6.03822872e-12 7.23918839e-13 3.72489173e-13 1.92883283e-13
 1.63988496e-12 5.61530266e-13 1.14089121e-13 5.28218910e-12
 1.02228502e-13 6.03698380e-10 1.33440915e-13 1.43174975e-13
 1.47187877e-12 4.38714545e-12 6.37089027e-11 3.09624892e-10
 9.98449167e-12 6.41722978e-11 3.23438620e-12 4.66891839e-12
 3.02556083e-13 5.60130147e-10 1.73707339e-13 4.02141267e-13
 3.13382091e-14]","[0.06899071 0.08752263 0.05001614 0.04669276 0.03067008 0.02767619
 0.03566119 0.02822098 0.07025689 0.05632777 0.02706602 0.03578465
 0.03650366 0.03777449 0.02962662 0.031848   0.0319848  0.02712636
 0.04205005 0.03882386 0.03582774 0.03040906 0.0297037  0.0327594
 0.03254314 0.03343963 0.02775809 0.02822354 0.03285708 0.02919839
 0.02961175 0.03058011 0.03349247 0.02461829 0.03607204 0.02570132
 0.02704163 0.04066674 0.04979389 0.0433018  0.06236365 0.02703454
 0.02846759 0.02477216 0.06649124 0.03025587 0.03067367 0.03269342
 0.03247126 0.03062811 0.02763468 0.03887863 0.02621261 0.08137175
 0.03507859 0.03419018 0.06952992 0.04775033 0.04923607 0.04539242
 0.04533502 0.06629528 0.1018548  0.04277826 0.04472794 0.06505217
 0.04669997 0.04283505 0.03953674]"
0.31,"[5.54928313e-10 3.15424463e-14 2.20782291e-11 7.39231225e-11
 1.08229766e-12 1.63683421e-12 1.08594627e-12 2.70647560e-09
 6.02048740e-10 3.80809540e-14 2.32442653e-12 8.95543971e-13
 4.97407424e-14 4.98547310e-14 4.68876712e-11 3.48297500e-11
 6.35053831e-11 3.52299970e-12 7.63439207e-12 2.74293046e-12
 2.31228886e-11 3.85995074e-13 5.85715625e-13 1.19408193e-12
 1.79735997e-11 1.05013166e-13 1.93852870e-13 5.63961970e-13
 2.54095420e-12 1.14199486e-12 1.05332860e-12 1.89790355e-13
 2.33353516e-12 7.03063404e-13 5.32047352e-13 8.26986880e-12
 1.18525318e-12 4.89674744e-14 4.37914048e-14 2.62648180e-11
 5.69962225e-10 2.96759342e-11 6.21902937e-14 5.66928267e-13
 2.41906780e-12 1.43025938e-13 6.15349452e-12 5.04922132e-12
 5.39340232e-13 7.81520190e-14 5.24667005e-14 1.65195451e-12
 4.38301133e-13 1.00887112e-12 4.93311312e-12 6.03651860e-10
 1.40074435e-13 2.12413900e-12 3.80402125e-12 6.23088662e-11
 3.07604913e-10 6.23368084e-12 9.54142551e-12 1.36581062e-12
 6.39590467e-11 3.18711875e-12 3.55933283e-14 2.16415142e-13
 5.59097820e-10 4.02378949e-13 2.55578229e-13 4.79546616e-12]","[0.06731496 0.08357487 0.04709581 0.05072529 0.02837108 0.03137458
 0.03482712 0.06854972 0.05450239 0.02699608 0.03485264 0.03637708
 0.03936143 0.03953305 0.02771198 0.02833643 0.04521544 0.04150277
 0.02654022 0.03648725 0.03386929 0.02926815 0.03482233 0.02923754
 0.03216411 0.02687117 0.02647291 0.02688928 0.03306598 0.03408049
 0.02993879 0.03360088 0.03387179 0.02405009 0.0247037  0.03270085
 0.02763697 0.02853429 0.02914208 0.03962281 0.04762099 0.05799234
 0.03363334 0.03602045 0.02796172 0.02598747 0.0295267  0.05988001
 0.02965819 0.02987079 0.0326942  0.0306864  0.03077068 0.0378882
 0.03909223 0.0733721  0.03074145 0.04002166 0.04364418 0.04788069
 0.04487892 0.04466072 0.04329968 0.06957351 0.06653565 0.09877272
 0.04357016 0.04312552 0.0615284  0.0450253  0.04288674 0.04473307]"
