Time,Volume,Gammatilde
0.24,"[5.25233514e-09 1.01148855e-10 6.62208142e-10 1.37173728e-13
 7.91088830e-13 4.84054252e-13 6.62120799e-13 9.33478768e-14
 6.02196113e-13 3.59302133e-13 9.44789610e-14 2.62477093e-13
 5.21820592e-13 6.78381982e-10 6.92916859e-11 1.16605818e-12]","[0.23570535 0.1624776  0.18894365 0.08048362 0.07538481 0.16184777
 0.15747393 0.15310087 0.15155909 0.08373015 0.10038058 0.10466858
 0.11052849 0.21845075 0.11744322 0.07118975]"
0.245,"[5.23679758e-09 9.96046133e-11 6.60287304e-10 6.47816249e-13
 3.93545922e-13 5.20517092e-13 5.95583768e-13 4.26836611e-13
 1.24712120e-13 5.90557785e-13 2.23131768e-13 6.71237990e-10
 6.67070879e-11 8.98762393e-13 1.99103232e-13 6.82796655e-13]","[0.23656311 0.15927149 0.18938082 0.07630013 0.15790503 0.15684756
 0.1566147  0.08721107 0.10332788 0.10415018 0.09306205 0.22617868
 0.1118528  0.09232982 0.07723761 0.07187092]"
0.25,"[4.37749676e-09 9.84234883e-11 4.79502967e-13 3.62858491e-13
 2.83458885e-13 6.18071640e-13 6.57872183e-10 3.85706476e-13
 8.44276680e-10 5.78879871e-13 2.67879875e-14 3.79408027e-13
 6.51310624e-11 1.15081732e-12 4.65740472e-13 6.37052634e-13
 6.65035571e-10]","[0.24459474 0.15557968 0.07847622 0.15552125 0.15849367 0.15990481
 0.19948152 0.08765052 0.18385285 0.10595187 0.09095036 0.08983649
 0.11286369 0.09835868 0.07948709 0.07508312 0.23100152]"
0.255,"[4.36846194e-09 9.76082072e-11 4.87056919e-13 1.29787511e-13
 5.17073903e-13 6.07903781e-13 6.54630456e-10 4.15190999e-13
 5.05552488e-13 8.33171087e-14 6.34180704e-11 5.70847014e-13
 6.91646230e-13 1.10200038e-12 6.57330553e-10 3.43344738e-12
 8.43130556e-10 1.18400260e-13 4.49212799e-13]","[0.23816665 0.15099304 0.08115221 0.1529493  0.16427749 0.16121382
 0.19686506 0.09018262 0.10541529 0.09028067 0.11466368 0.08095828
 0.07894158 0.10337993 0.23489294 0.10775429 0.17873226 0.08842919
 0.09011121]"
0.26,"[2.02944824e-09 2.32546246e-09 9.63058959e-11 4.28768408e-13
 2.21828791e-13 5.37515513e-13 6.03984129e-13 6.50125467e-10
 3.06328308e-13 3.66173334e-13 2.03184047e-11 4.09197877e-11
 1.57040381e-12 2.28210796e-11 1.09329199e-12 3.60355714e-14
 3.00211998e-12 6.27125923e-10 8.41360585e-10 1.74784423e-13
 9.29729690e-13 1.17714216e-13 6.08192540e-14 8.64832180e-14
 8.47891246e-14 1.75888252e-13 4.41773230e-13]","[0.22044994 0.24261513 0.1455793  0.08590667 0.15065538 0.16698839
 0.1442872  0.18606814 0.09112151 0.10062625 0.10339463 0.11994546
 0.08279684 0.11202697 0.10362484 0.10306646 0.10826217 0.23850283
 0.17101917 0.09282956 0.09130756 0.10031998 0.0990223  0.09857914
 0.10228482 0.10449143 0.10838074]"
0.265,"[1.34439518e-09 2.29671321e-09 6.80770552e-10 9.50913636e-11
 6.25332989e-13 2.91509502e-13 6.15938334e-13 1.88220572e-11
 2.98589138e-13 3.82730979e-13 6.44738776e-10 2.86826793e-13
 1.92847147e-11 4.05313596e-11 1.68630987e-11 1.43247125e-12
 2.23338983e-14 2.78486054e-13 1.78620973e-12 1.14129239e-12
 3.03357571e-12 6.26200675e-10 2.95521094e-13 8.25670419e-10
 1.20079816e-13 1.06895878e-12 1.29477698e-13 1.21588193e-13
 2.74946975e-13 1.18574248e-11]","[0.21682587 0.2405011  0.21210629 0.13794977 0.09102369 0.14763149
 0.16536345 0.11737822 0.12699527 0.08399517 0.18047498 0.09630164
 0.10030169 0.12056228 0.11048997 0.08650938 0.0875571  0.08782067
 0.09298105 0.10075454 0.10785648 0.22688504 0.2061712  0.16694042
 0.09356338 0.09583284 0.10922016 0.16877662 0.15419648 0.13935946]"
0.27,"[1.34385583e-09 2.29135084e-09 4.67467086e-11 6.30180514e-10
 5.72598406e-13 3.80212577e-13 1.68845022e-11 3.23468734e-13
 6.38220151e-10 1.06512139e-13 3.41122855e-14 1.24254811e-12
 1.89815743e-11 9.31196188e-11 4.01647765e-11 1.07610609e-11
 3.98810906e-14 1.58943491e-13 1.87135308e-13 2.14673490e-13
 1.60853943e-12 3.45928735e-13 3.09285791e-12 1.01014760e-12
 6.22760798e-10 2.10143509e-13 2.47218687e-13 9.24424450e-14
 8.23776927e-10 1.06491645e-13 1.32673394e-13 8.65807030e-13
 9.89563183e-14 1.43004211e-13 3.35660379e-12 6.20515736e-13
 3.03842377e-14 5.70471200e-14 1.15226547e-13 1.12615397e-11]","[0.21469    0.23660459 0.17449067 0.20937975 0.08824236 0.16213109
 0.11158651 0.11234258 0.18629754 0.0786209  0.07851732 0.08819157
 0.09724217 0.13010659 0.12041383 0.10577317 0.08622123 0.0838416
 0.08499969 0.08637239 0.09610328 0.08880913 0.10668452 0.09740631
 0.20719103 0.14406462 0.19383118 0.21068323 0.16604333 0.09206421
 0.09256902 0.1012112  0.09960204 0.10222788 0.10582872 0.13069106
 0.12095799 0.1451351  0.1410423  0.13854504]"
0.275,"[3.52658307e-09 6.31463801e-10 1.74008018e-13 1.55159864e-11
 6.42036209e-10 1.00364699e-13 5.97827299e-13 6.39017539e-13
 9.02084367e-13 4.07330722e-14 1.99043492e-11 9.51189065e-11
 3.22637722e-11 9.23702763e-14 1.58303656e-13 1.61618976e-12
 1.33873602e-12 2.17556479e-12 2.70226376e-13 8.45769401e-13
 1.09303403e-12 2.01438070e-12 6.21856345e-10 7.13551733e-13
 3.71545688e-13 8.00036409e-10 1.45170295e-10 6.91408837e-13
 3.73145802e-13 8.71964417e-13 4.14177473e-14 5.96751176e-14
 2.13502452e-12 6.92025181e-12 4.12182992e-14 2.77498760e-14
 9.67496581e-14 1.21779507e-13 1.07626665e-11]","[0.22007566 0.19879966 0.16824438 0.107893   0.19964878 0.08577918
 0.08852336 0.09871404 0.08593887 0.08664616 0.09318483 0.12897942
 0.12094835 0.08198926 0.08443408 0.10142281 0.09664826 0.11082949
 0.09400684 0.09397899 0.07162302 0.09474952 0.19113527 0.14575707
 0.16413332 0.15925352 0.17463299 0.10758034 0.09775223 0.10032892
 0.08833081 0.09890174 0.10217274 0.10391122 0.08487752 0.14067759
 0.13857019 0.13552394 0.1364037 ]"
0.28,"[3.66464476e-09 5.56239599e-11 5.72906537e-10 2.66625970e-13
 1.39241751e-11 6.36771547e-10 1.10724422e-13 5.97981409e-13
 4.72482422e-13 8.62402651e-13 1.94116764e-11 9.34290106e-11
 2.54432291e-13 3.26571595e-11 2.52448915e-13 3.19312564e-13
 6.18207353e-14 2.27410227e-12 1.48533864e-12 1.51972526e-12
 1.31797697e-12 1.87993527e-12 8.38291231e-13 6.01299060e-10
 4.68225594e-13 1.56981465e-13 9.35080239e-13 1.38939044e-13
 3.16738516e-14 4.16416562e-14 1.75568046e-13 1.17892767e-13
 1.19906280e-11 7.98553664e-10 7.58192481e-13 2.92178255e-13
 7.52205923e-13 1.94973452e-12 1.09716643e-13 3.96979387e-14
 4.57260113e-14 3.80599074e-14 3.65062194e-14 4.14404196e-14
 4.45204661e-14 4.86455419e-12 4.06124758e-14 4.11603964e-14
 9.99758312e-14 5.33628223e-14 1.00435144e-11]","[0.21500357 0.1497114  0.18790933 0.16417833 0.10188213 0.20987352
 0.08751093 0.08588631 0.10058865 0.08862756 0.09052971 0.12152304
 0.08409503 0.11940807 0.08275913 0.08779855 0.10707416 0.11533066
 0.09931071 0.09250814 0.0717531  0.0936787  0.09110086 0.18783327
 0.14254732 0.15017754 0.0758169  0.07320245 0.07224584 0.07124382
 0.07090566 0.07331858 0.1188667  0.1540458  0.10657292 0.0949182
 0.096955   0.10084052 0.08421737 0.08506767 0.08623192 0.08793315
 0.09017907 0.09475648 0.08388644 0.10794184 0.08519959 0.13715128
 0.13539631 0.13224583 0.13448566]"
0.28500000000000003,"[3.51538450e-09 5.47276351e-11 5.71276762e-10 2.84601065e-12
 5.01473439e-12 1.02936443e-13 4.59015232e-13 8.26823842e-13
 3.12806223e-13 6.42318535e-13 6.16029264e-13 2.15528723e-14
 4.74693521e-13 9.19793630e-13 4.00742036e-12 6.25457410e-10
 1.89264590e-11 9.36245010e-11 2.71738702e-13 2.90543037e-11
 3.40313675e-12 2.39472723e-12 1.27335492e-12 1.29990961e-12
 1.05518661e-12 1.95563504e-12 8.17805498e-13 3.54559503e-12
 4.41142885e-14 4.97859918e-13 5.98587657e-10 1.13769775e-13
 4.48112485e-14 4.06448264e-14 1.08237317e-13 5.22631964e-13
 2.37942118e-14 4.22021497e-13 1.02185265e-13 6.34621149e-14
 2.12050186e-13 9.37277003e-10 5.76934452e-13 1.11653986e-11
 5.48073532e-14 4.11829802e-13 1.74011189e-12 2.50592230e-13
 5.11622426e-12 5.91446391e-13 1.04977715e-13 2.36804825e-13
 4.77858888e-14 9.84710457e-12]","[0.2146614  0.14672848 0.18125474 0.09355958 0.09676289 0.09071918
 0.08994846 0.09279786 0.09255834 0.08400743 0.09999476 0.10465857
 0.10282618 0.09022292 0.07297895 0.21891151 0.0878126  0.11343363
 0.08452183 0.11664601 0.12057378 0.11905329 0.09911621 0.08966233
 0.07360881 0.09402535 0.09310244 0.09248224 0.15284428 0.13700604
 0.18696945 0.1130077  0.11038628 0.10768145 0.10579849 0.07737926
 0.10226601 0.09972827 0.16028894 0.09751931 0.09580508 0.14914813
 0.10502036 0.11841164 0.09063709 0.09589543 0.1035148  0.08766195
 0.10977206 0.13390882 0.13064294 0.13608501 0.13108539 0.13198124]"
0.29,"[3.36022041e-09 1.47015422e-10 5.34479458e-11 5.71946741e-10
 3.91360539e-12 3.10873946e-13 2.38707420e-13 3.21313999e-14
 1.04615547e-12 2.52468157e-13 9.82999867e-13 5.37836673e-13
 8.63488724e-13 3.63571639e-12 1.86405554e-11 9.13965507e-11
 2.88941251e-11 3.51886230e-12 2.24347922e-12 1.45990284e-12
 1.25090853e-12 2.07346171e-12 6.22322691e-10 1.38809622e-12
 8.24875116e-13 3.25300536e-12 3.53570678e-13 6.35840833e-13
 1.41928481e-13 3.29657183e-14 1.85384164e-13 1.48281931e-12
 1.23707552e-13 7.88225128e-12 1.57214106e-12 4.93101647e-12
 7.90688883e-10 7.12691976e-11 5.38265862e-13 2.29695537e-14
 3.63727073e-14 1.38223676e-13 5.02492217e-13 1.95954738e-12
 1.09850740e-13 2.39498163e-13 5.22258955e-12 6.69733575e-14
 7.44663484e-13 5.97457981e-10 6.90369731e-11 1.10419220e-13
 5.76390065e-14 2.64173029e-13 8.46189461e-12]","[0.21388202 0.1665742  0.14677374 0.18821311 0.09195467 0.0880676
 0.08675673 0.0870744  0.09169915 0.09595064 0.09308571 0.08295715
 0.10455071 0.06884962 0.08530703 0.10791565 0.11322615 0.1205567
 0.12041543 0.10064766 0.07638263 0.09619378 0.22422735 0.08764895
 0.0890655  0.09393337 0.12776496 0.08132939 0.15658551 0.08780405
 0.08768084 0.08746288 0.09101157 0.12240796 0.13240533 0.24449809
 0.13996207 0.17039561 0.1026444  0.08040111 0.08223874 0.08667045
 0.10458678 0.10561927 0.08631767 0.08743592 0.11320915 0.13560735
 0.14601851 0.18283122 0.16913643 0.11210658 0.10989161 0.13643631
 0.13048432]"
0.295,"[5.40707929e-10 2.73127179e-11 1.17171024e-10 5.32262921e-11
 5.70503786e-10 4.02708866e-12 2.98862676e-13 2.46704846e-13
 1.05924776e-12 2.81728477e-09 1.33824126e-13 1.64391644e-13
 1.07203660e-12 1.66847577e-13 6.66096786e-13 5.89049551e-13
 1.46097504e-12 1.75103554e-12 1.83892839e-11 7.99484554e-11
 2.89834627e-11 3.53930792e-12 9.14827512e-12 2.45572025e-12
 1.42550772e-12 1.06109181e-12 1.89971006e-12 2.87589982e-11
 1.23935076e-12 6.64620915e-13 4.67063475e-14 3.19627316e-12
 2.80204280e-13 5.90157556e-10 2.65157376e-14 5.56639066e-13
 5.43728597e-13 7.72004771e-14 1.08914214e-13 8.27094132e-12
 1.37774559e-12 4.49200165e-12 8.54645630e-10 3.46002556e-13
 6.35433113e-14 4.32853877e-13 1.75250019e-12 3.42972790e-14
 2.39378491e-13 4.97649070e-12 3.44053317e-13 2.89639408e-13
 9.81226975e-14 4.91399120e-14 6.77787932e-11 5.95403554e-10
 6.55630987e-13 7.95911440e-13 2.45358495e-14 6.72758713e-12
 1.97076877e-14 7.67109713e-13 1.21172354e-13]","[0.17664952 0.14306116 0.17195423 0.1470538  0.18773532 0.0871493
 0.08424147 0.08504081 0.09189901 0.21875472 0.06916336 0.09642146
 0.10267827 0.06447972 0.08873091 0.10507968 0.07125522 0.06587405
 0.08303886 0.10302668 0.10953092 0.12280213 0.10444817 0.12018936
 0.10746559 0.079533   0.09953945 0.10043954 0.08586441 0.0852269
 0.09520595 0.09667196 0.12611823 0.232282   0.15288031 0.08056726
 0.08154974 0.0820468  0.10018845 0.11753177 0.13251879 0.23620199
 0.14005829 0.09872673 0.08512326 0.11324857 0.10267207 0.08660722
 0.08552989 0.11516445 0.08483505 0.08539823 0.10962013 0.11041986
 0.15837952 0.18303025 0.08046941 0.12317939 0.1145845  0.1291176
 0.11170734 0.15775295 0.1386479 ]"
0.3,"[5.41140207e-10 2.25680099e-11 2.10826333e-13 1.10452671e-12
 5.32639122e-11 1.94458037e-13 5.69095020e-10 2.81454202e-13
 4.00171764e-13 9.62238520e-13 1.74249132e-13 3.40451590e-09
 2.87782993e-13 4.08239067e-13 6.84453721e-13 7.03281605e-13
 1.17210492e-10 1.50671107e-12 3.65913886e-13 1.80321299e-11
 7.84430015e-11 2.88980630e-11 3.56392892e-12 2.29124260e-12
 1.58494693e-12 8.11161690e-12 9.21500072e-13 1.84937426e-12
 2.24680486e-11 1.16141788e-12 3.54581196e-12 7.35814884e-13
 1.31253095e-12 1.12469435e-13 9.04675257e-14 3.62938260e-12
 2.52528153e-13 6.27532351e-14 7.92828647e-12 1.36694091e-12
 4.40424079e-12 2.22090661e-13 4.50845094e-10 1.70665231e-12
 3.45837392e-13 1.67158817e-12 3.95294844e-10 1.10632757e-13
 4.65022254e-12 1.12239606e-13 1.00921958e-13 7.46634720e-14
 4.77702241e-14 5.74188302e-14 4.31461595e-14 4.75505636e-14
 5.44326716e-14 4.60887009e-13 1.10428191e-13 7.00341280e-13
 4.05785805e-14 6.70379627e-11 5.95688836e-10 6.29543240e-12
 7.64655008e-13 6.55848055e-13]","[0.17423923 0.14095883 0.08410407 0.08754973 0.14721934 0.08285161
 0.18034629 0.09163546 0.08913276 0.09393348 0.0724146  0.22033687
 0.09498789 0.09922833 0.06470647 0.11039632 0.17092084 0.07282138
 0.09549856 0.08090931 0.09859104 0.10470854 0.1236116  0.12010632
 0.1141839  0.10165828 0.08117176 0.10086646 0.09869519 0.09286817
 0.09853936 0.08310568 0.08433721 0.12385218 0.0761027  0.08416452
 0.11295046 0.11273553 0.11182053 0.1281484  0.2290892  0.11396797
 0.13932038 0.06674952 0.09413101 0.09715203 0.1348757  0.08323014
 0.11394705 0.08261161 0.08031226 0.07872265 0.07795573 0.07715895
 0.07735149 0.07830506 0.07906438 0.0931541  0.08148879 0.08394997
 0.1079825  0.15426784 0.18062779 0.1242859  0.15782631 0.12470772]"
0.305,"[5.41036788e-10 1.82705977e-11 8.53769962e-14 2.15502274e-13
 2.09858013e-14 5.56267436e-14 5.22370983e-11 5.73042452e-13
 5.54235347e-13 3.08088775e-13 5.66880862e-10 1.40974298e-13
 1.06084919e-12 4.91416361e-14 1.76612589e-11 1.68809195e-13
 3.35475130e-09 3.51949972e-11 4.95545685e-14 8.43482034e-13
 1.14633850e-13 2.69660533e-14 6.43946741e-14 1.17026627e-10
 1.43868381e-12 3.30015509e-14 4.60367354e-14 1.36941647e-12
 4.90035625e-13 1.72713086e-11 7.77333874e-11 2.87062220e-11
 3.58795864e-12 2.49412145e-12 1.72227268e-12 1.00358067e-12
 1.89960628e-12 1.21061542e-12 6.64588827e-12 2.07129380e-11
 1.28575169e-12 3.43119866e-12 7.58718868e-13 1.20868388e-12
 4.89138303e-14 3.81071282e-12 2.23144194e-13 1.61722276e-13
 3.73683179e-14 7.34236799e-12 1.27652885e-12 1.33171835e-13
 4.26555011e-10 2.10826990e-12 7.97646498e-13 1.19898840e-13
 1.51214567e-12 1.11168606e-10 2.75001991e-14 4.24413749e-12
 1.82996778e-13 2.56738512e-14 3.75168405e-12 6.63471666e-11
 2.81624033e-10 1.98734213e-11 5.93431796e-10 6.02786340e-13
 1.33895534e-12 4.62863179e-12 4.32941999e-14 4.37322356e-13
 7.28130556e-13 9.59784745e-13]","[0.17079881 0.1395297  0.08794549 0.0854268  0.08373259 0.08502645
 0.14686297 0.0800856  0.09441909 0.09109812 0.1729231  0.07351254
 0.09431471 0.07206072 0.12110861 0.09282059 0.21952863 0.12187299
 0.06251184 0.1132533  0.06523125 0.06868643 0.07502076 0.16798306
 0.0749185  0.0922198  0.09262168 0.09963177 0.10557343 0.07877833
 0.09438539 0.09891545 0.12326586 0.12095641 0.11777104 0.08076188
 0.10104243 0.10605008 0.10040086 0.09640371 0.09044774 0.10061084
 0.08195825 0.08541778 0.12056012 0.08491504 0.08573956 0.08071546
 0.10205341 0.10289662 0.12129167 0.11146432 0.13697806 0.06998468
 0.08137637 0.0927715  0.0924535  0.1234886  0.08328688 0.11159696
 0.07781812 0.08589607 0.22331054 0.15384977 0.13559547 0.17650395
 0.17444339 0.08179073 0.08649732 0.12025832 0.10982656 0.10847227
 0.15613196 0.12782452]"
0.31,"[5.41952141e-10 1.35841501e-11 4.71110735e-13 4.92003831e-13
 1.80924841e-13 2.27230717e-13 5.64460956e-10 1.09181116e-12
 7.85970017e-14 1.60261854e-11 1.22680776e-13 3.47096418e-11
 5.76773086e-13 1.16795276e-10 1.52291844e-09 4.68769644e-10
 4.63535857e-13 2.65643336e-13 1.57118300e-12 3.87849297e-13
 1.65319436e-11 7.67157410e-11 2.84639551e-11 5.17203675e-11
 3.57028483e-12 2.22752272e-12 1.47041117e-12 1.88572217e-12
 1.79066268e-11 1.05131398e-12 1.76667108e-13 2.78369124e-13
 1.53160670e-14 1.01985020e-12 1.16645606e-12 6.72237547e-12
 3.54770908e-12 6.35135116e-13 1.07528218e-12 7.47317008e-10
 9.88915042e-10 3.72397413e-12 2.16978712e-13 3.60640310e-11
 1.89379881e-13 6.75710813e-14 6.74426214e-14 2.86929429e-14
 1.72583728e-12 2.30024080e-12 7.10720939e-12 8.39087299e-13
 5.67202102e-12 1.33654206e-13 1.26682217e-12 1.11422567e-10
 4.31161853e-12 2.03188754e-13 7.30557515e-12 1.02389368e-12
 2.11287575e-12 9.61235029e-13 6.53533968e-11 2.78376060e-10
 1.96429563e-11 9.76376342e-13 3.08972134e-10 5.80629557e-13
 5.45120809e-13 2.07877775e-13 2.53541389e-12 1.98914163e-14
 4.61574202e-12 5.23999079e-13 2.79342080e-10 1.94946319e-14
 1.11031593e-12 5.05543542e-13]","[0.16666334 0.13945671 0.09885459 0.0916716  0.10059285 0.0905223
 0.17603364 0.09383886 0.07429497 0.1148648  0.09077141 0.11968056
 0.10640858 0.1652581  0.19160397 0.16399533 0.09249063 0.10808257
 0.10985345 0.11171306 0.07673616 0.09046208 0.09135892 0.14517526
 0.12257758 0.12138516 0.11772023 0.10046758 0.0943512  0.07882977
 0.07818277 0.07825121 0.07881636 0.08716811 0.10215071 0.10270115
 0.10419588 0.08110339 0.08311662 0.23499404 0.23181224 0.0851098
 0.08719861 0.10375317 0.08105858 0.08691789 0.0845564  0.10580913
 0.07822906 0.07594209 0.09254809 0.08656578 0.10876825 0.09248274
 0.08730264 0.11755972 0.1183923  0.09808819 0.1035441  0.1151486
 0.23036664 0.21394424 0.14848569 0.13447566 0.16168288 0.06294762
 0.17012962 0.08053236 0.08244374 0.08100595 0.08704599 0.08194317
 0.12155601 0.15517643 0.1599063  0.05786184 0.13799419 0.11516305]"
