Time,Volume,Gammatilde
0.24,"[4.88942721e-09 9.31419793e-11 7.03014357e-10 1.25688511e-13
 5.59777928e-13 3.05503448e-14 2.86274364e-13 2.90339935e-13
 1.27135616e-13 3.73191523e-13 4.29240986e-13 3.20823058e-14
 8.78538326e-13 8.06374697e-13 2.83641384e-13 5.79081814e-10
 6.75053507e-11 1.22775476e-13 5.33349108e-13 3.99958082e-10]","[0.16909201 0.120001   0.14050338 0.05540231 0.08661619 0.05339091
 0.0822509  0.08402091 0.08313582 0.08295782 0.06249787 0.06806923
 0.07566866 0.06045895 0.05549609 0.1531586  0.07416629 0.05227856
 0.04896025 0.1102429 ]"
0.245,"[4.53285693e-09 9.20767923e-11 6.99066070e-10 5.97644495e-13
 3.51992394e-14 1.65562964e-13 4.26300899e-13 4.02337890e-14
 2.37990892e-13 5.19624897e-13 3.40873487e-10 7.80000866e-13
 7.82338598e-13 3.18496151e-14 6.48019732e-11 3.16596938e-13
 4.79265810e-13 5.74434594e-10 3.96987257e-10]","[0.17289708 0.11627743 0.14427328 0.08560471 0.05356532 0.07901862
 0.08004851 0.08356997 0.08177378 0.06560599 0.10507617 0.07359264
 0.05643872 0.05274945 0.07001373 0.05463515 0.05021586 0.15473805
 0.11189864]"
0.25,"[4.52371272e-09 9.08643967e-11 6.94880794e-10 2.85770985e-14
 2.46252361e-13 2.87930073e-13 2.32824103e-14 1.92961427e-13
 3.38304659e-10 6.38421245e-13 8.49136472e-13 1.23206121e-13
 6.27202157e-11 2.81149051e-13 4.39975483e-13 5.66285970e-10
 1.21275676e-13 6.20315321e-14 2.51460718e-12 6.61944965e-13
 3.94976132e-10 5.49579682e-13]","[0.17059009 0.11232642 0.14603406 0.05417798 0.0811404  0.07868664
 0.08140945 0.08046515 0.10395487 0.07089242 0.05615399 0.05284543
 0.06921644 0.05680614 0.05215557 0.15649586 0.07136575 0.07146199
 0.0729336  0.08890541 0.10968743 0.05435582]"
0.255,"[3.90821231e-09 5.86987876e-10 8.98775836e-11 5.22995795e-13
 2.67149857e-14 2.64349994e-13 3.85354722e-14 6.89780417e-10
 1.38589344e-12 4.43324504e-13 9.05071493e-13 2.77546013e-11
 3.10588734e-11 3.05311410e-14 2.07580903e-13 2.49370396e-11
 9.52865342e-13 5.25945891e-14 1.15261436e-13 2.37305607e-12
 5.33983172e-10 6.83419460e-13 3.92726677e-10 3.36710471e-10
 6.09940673e-13 8.97068294e-13 1.47609379e-14 1.30365639e-11
 1.87624376e-13]","[0.16904543 0.14936713 0.10772655 0.08440728 0.05334128 0.07778876
 0.07860288 0.13901471 0.06776426 0.06732849 0.05675605 0.0597686
 0.07472064 0.05702058 0.05214611 0.07756934 0.06239253 0.06935975
 0.06981155 0.07279155 0.15936342 0.08982646 0.10630005 0.10134164
 0.05602602 0.05638813 0.05611188 0.12044075 0.07047301]"
0.26,"[3.89804878e-09 5.83719790e-10 8.83057955e-11 2.47547095e-13
 2.59301745e-14 2.51224710e-14 6.87313267e-10 4.40014462e-13
 9.80570628e-13 8.14964207e-13 2.69120274e-11 2.99108030e-11
 1.76989527e-11 1.63964537e-13 7.36546522e-14 2.58182288e-13
 2.41227998e-13 3.19648428e-14 3.38493607e-13 1.92144859e-12
 9.59945162e-13 3.55036146e-13 1.73328506e-12 5.30995548e-10
 5.94957270e-13 4.49869608e-13 7.14835548e-10 7.81000614e-13
 1.05544257e-12 1.21621913e-11 2.82987206e-14 3.61970292e-14
 2.19971190e-13 1.42029788e-13 5.70607633e-14 1.05542748e-11]","[0.16303776 0.1430827  0.10211762 0.07598093 0.07591429 0.06149372
 0.1325629  0.0620612  0.06442588 0.05628423 0.05598219 0.07535937
 0.07634344 0.05084282 0.05973099 0.05921299 0.05898199 0.05772075
 0.0596784  0.06365714 0.06130705 0.06976636 0.0726017  0.15215587
 0.08856044 0.08542787 0.10011891 0.05888862 0.05901254 0.11301732
 0.06262723 0.06519121 0.06913892 0.07278181 0.1047403  0.09239185]"
0.265,"[3.88985135e-09 6.81046837e-11 8.67753687e-11 5.11993165e-10
 2.89372212e-13 2.10211091e-14 6.79505571e-10 2.20499945e-13
 9.98130324e-13 1.05680331e-12 7.70026168e-13 1.93057094e-11
 6.02543143e-12 2.73715056e-11 1.40948477e-11 1.45577883e-14
 3.03224612e-13 1.08384960e-13 1.39334778e-13 1.37238888e-13
 4.11858820e-13 3.97264172e-14 3.58038148e-13 9.25961490e-13
 1.12048040e-13 1.66297004e-12 1.25306206e-13 1.22585818e-12
 5.26888446e-10 6.30330081e-13 5.70309596e-13 3.75508550e-10
 3.34524734e-10 3.78844835e-13 9.10110493e-13 6.06565607e-13
 1.13411987e-12 1.17077819e-11 5.80157398e-13 1.05518195e-13
 1.25663445e-13 1.38163826e-13 9.36235425e-12]","[0.15715897 0.11685159 0.09541497 0.14111008 0.07344542 0.0723784
 0.13157789 0.06044216 0.06181141 0.05913067 0.05932386 0.0503109
 0.06074314 0.07669076 0.07256449 0.05838056 0.05744332 0.04929611
 0.05758115 0.05865823 0.06042528 0.06199074 0.06782548 0.0594449
 0.06906493 0.07149847 0.0596777  0.05857841 0.13784843 0.08496723
 0.08444583 0.10110995 0.09003315 0.06804281 0.05548567 0.05918482
 0.06072278 0.10769333 0.08317242 0.09370155 0.09068147 0.08873976
 0.09129199]"
0.27,"[3.88535530e-09 6.67818002e-11 5.11090921e-10 3.63875685e-14
 6.75068428e-10 1.30268907e-13 6.18439577e-13 1.26650895e-12
 5.15745614e-13 2.37146107e-11 8.58872081e-11 2.64173318e-11
 1.10103728e-13 1.12368225e-13 1.96541176e-13 2.90438821e-14
 1.04163113e-13 5.75680487e-13 1.02193040e-13 3.72878768e-14
 6.11616630e-13 1.51816362e-12 2.57980562e-13 8.76842139e-13
 9.51108583e-13 3.71259378e-13 5.04748513e-10 9.91274146e-13
 2.97835951e-14 3.05531059e-13 5.60763614e-13 9.61133440e-14
 1.18118269e-13 1.60692667e-11 3.74812803e-10 3.32237696e-10
 8.23445835e-13 4.97683017e-13 1.31349762e-12 1.16370357e-11
 1.33151348e-13 4.44140793e-14 4.12068284e-14 1.17006209e-13
 4.91654755e-14 3.88050770e-12 5.97403158e-12 1.03276880e-12
 2.31242006e-13 1.16054312e-13 1.36541890e-13 9.11548050e-12]","[0.1532279  0.10754487 0.13631076 0.06779276 0.1367237  0.06072934
 0.0616032  0.05827704 0.05850101 0.04976645 0.08866811 0.0762539
 0.05511943 0.05568945 0.05683767 0.05804077 0.04990746 0.0694106
 0.07081656 0.06742127 0.06138615 0.07086967 0.05768165 0.05762135
 0.05627459 0.07880724 0.12582267 0.0513328  0.05077956 0.04929829
 0.0825633  0.07089647 0.04664919 0.07433848 0.09791478 0.08627309
 0.05478791 0.05774382 0.0617336  0.10489473 0.06057759 0.06135131
 0.06230316 0.06315277 0.06405767 0.06829511 0.07088069 0.06260077
 0.05907459 0.05735708 0.06008505 0.08931814]"
0.275,"[3.70962368e-09 6.54010555e-11 5.09738996e-10 6.71499418e-10
 1.07964372e-13 5.61050973e-13 8.80473039e-13 8.28485108e-13
 5.41489665e-13 2.28921896e-11 8.32775315e-11 1.55753212e-13
 2.66068810e-11 6.27523272e-14 3.15821329e-14 1.07555786e-13
 4.91064961e-13 2.96233878e-13 3.97266158e-14 2.14246162e-13
 1.65231272e-12 6.31106826e-14 2.65750680e-13 9.42132773e-14
 1.39405242e-12 2.64014605e-13 7.61274207e-13 8.10905243e-13
 3.48612535e-13 1.72969357e-10 3.41024109e-13 4.24478646e-13
 1.04838947e-13 3.22237636e-14 1.13094355e-13 1.18949631e-13
 1.37278970e-13 1.45335803e-11 3.73727173e-10 3.30028864e-10
 8.20534699e-13 3.78945557e-13 1.07818763e-12 1.17201583e-11
 5.73593811e-14 2.96069740e-12 2.26022069e-13 3.78145471e-14
 5.11113774e-12 1.36147701e-13 5.01970915e-10 8.31893573e-13
 6.09276951e-14 1.52032438e-13 8.06345413e-12]","[0.14872308 0.1015792  0.12682724 0.14407273 0.06155485 0.06004864
 0.0716225  0.05909003 0.05684853 0.0472693  0.08324393 0.05797253
 0.0745872  0.05508258 0.05467449 0.05513223 0.06957138 0.05539022
 0.06510605 0.04750613 0.07075076 0.06332717 0.06091388 0.05832181
 0.0497797  0.05436358 0.05430699 0.05745747 0.0777806  0.16425226
 0.04764251 0.0800448  0.047647   0.04856578 0.04907752 0.06859791
 0.04442768 0.07216798 0.09309751 0.08376069 0.05397745 0.05550874
 0.06143481 0.10414421 0.06357447 0.06713627 0.06003291 0.05591616
 0.07101584 0.05625053 0.1194425  0.09540563 0.08599193 0.08428371
 0.08734413]"
0.28,"[3.68689043e-09 4.39518185e-14 6.41932741e-11 5.08389157e-10
 5.55611030e-14 8.15154643e-12 6.74785861e-13 1.41383815e-14
 2.55770040e-12 1.00018395e-12 4.18755270e-14 4.84044617e-13
 3.78217299e-13 1.32403197e-12 5.29719481e-13 1.53916897e-14
 6.68122641e-10 1.46430318e-11 4.80450854e-14 6.75022623e-12
 8.28760854e-11 1.60402639e-13 2.67410886e-11 3.04495115e-13
 4.57556042e-13 1.62408119e-12 1.32728877e-13 6.64083958e-14
 4.81950612e-14 2.89852301e-14 1.26016940e-13 4.85972693e-14
 1.33822222e-12 5.86381508e-13 1.04719405e-12 3.29366516e-13
 3.86233456e-13 1.14714306e-13 3.09855435e-12 2.77074785e-13
 3.46378986e-13 2.73099223e-14 2.36728694e-14 2.97630593e-13
 3.26638840e-14 5.25613844e-13 1.23764529e-11 3.71527625e-10
 3.28609502e-10 5.54440224e-13 3.05453416e-13 1.17339656e-12
 1.35987295e-12 1.14834513e-11 3.84450968e-14 2.80268066e-12
 9.26486939e-14 4.20167179e-13 1.97594373e-13 4.76923676e-12
 5.01644756e-10 5.90808183e-13 1.72937647e-10 2.95944171e-14
 2.06288909e-13 3.92317338e-14 3.08730842e-14 1.10091689e-13
 2.89039589e-14 4.21037908e-14 7.74315768e-12]","[0.1450072  0.1561487  0.09836079 0.11691057 0.06177455 0.06306889
 0.05991188 0.0579912  0.06044842 0.06233466 0.06206694 0.05294997
 0.05834396 0.06347598 0.05011529 0.0478705  0.14762816 0.04137718
 0.04166475 0.05269909 0.07671921 0.0566557  0.07318063 0.05589814
 0.06963041 0.07151624 0.06073082 0.05983671 0.05885183 0.05721902
 0.04469664 0.05613173 0.05034467 0.05304782 0.05874475 0.07512922
 0.08240207 0.11403873 0.09552495 0.08839748 0.08180176 0.06629979
 0.07741167 0.04878312 0.07537545 0.10754557 0.06928695 0.08603522
 0.08027591 0.05266223 0.05264125 0.0697582  0.07975856 0.10459693
 0.06521667 0.06659125 0.05469534 0.06080588 0.05839492 0.07246733
 0.11812501 0.08894239 0.15965663 0.09148863 0.04705775 0.04700129
 0.04685775 0.04710667 0.08392682 0.0828159  0.08510093]"
0.28500000000000003,"[1.23048627e-09 3.16326671e-13 2.66382096e-09 6.32984008e-11
 5.07527877e-10 7.12593780e-13 2.24800789e-12 8.53338679e-14
 1.68832580e-13 1.88543413e-12 3.85555766e-14 8.40877945e-13
 1.66198217e-13 3.69346089e-13 3.58780388e-13 6.17384071e-14
 9.08522848e-13 8.30830912e-13 6.60335676e-10 1.33425523e-11
 7.11074771e-12 8.15175305e-11 4.14617496e-13 2.39257066e-11
 2.73369955e-12 5.05861665e-13 1.68804623e-12 2.56754407e-13
 7.42954774e-14 1.28154382e-12 1.13670232e-13 7.26590244e-13
 9.97968727e-13 8.23156089e-13 2.73288745e-12 1.61866182e-14
 2.93577008e-14 4.83602685e-14 5.31163139e-13 6.78221934e-13
 3.68813073e-14 8.91472827e-14 3.90395692e-14 5.12332903e-13
 1.31195555e-13 2.79079715e-13 1.14313243e-12 6.45015870e-14
 3.00798548e-13 1.34695438e-13 1.82869731e-13 2.86255751e-13
 9.72406541e-14 1.16337431e-11 1.20232335e-12 3.25334922e-10
 5.54766155e-13 3.16181175e-13 9.80804436e-13 1.16246033e-11
 2.78937996e-12 1.63777808e-13 5.93143937e-14 5.65604479e-14
 3.98044129e-13 4.98032098e-12 7.92704001e-13 4.99504625e-10
 1.28405318e-12 1.50349478e-10 1.72620576e-10 1.75611213e-13
 5.12458177e-13 1.82701241e-13 3.19039554e-14 7.44948919e-12]","[0.14985564 0.17909956 0.13300336 0.09596382 0.11772346 0.06008271
 0.05440955 0.05456118 0.05504806 0.05702056 0.05764995 0.06134425
 0.06481096 0.05556772 0.06129506 0.07759518 0.07070375 0.05447361
 0.1495475  0.03889716 0.05061433 0.07175218 0.05888903 0.0711003
 0.070344   0.0686627  0.07089167 0.05917508 0.05772931 0.05146747
 0.04242546 0.05335814 0.05552172 0.06627468 0.06363675 0.07151646
 0.08795425 0.06407325 0.06085525 0.09505467 0.05885021 0.102784
 0.05854638 0.11423533 0.04556917 0.05817956 0.05702799 0.05562442
 0.05505321 0.14493994 0.14412761 0.05138201 0.05334518 0.07395311
 0.07480105 0.07833874 0.05042828 0.0509156  0.08125194 0.10437111
 0.06696024 0.05595142 0.05695361 0.05637118 0.06713584 0.07637695
 0.08887217 0.11382649 0.08940152 0.12046093 0.15826074 0.04651734
 0.04784269 0.08315058 0.08208785 0.08287966]"
